Year,Catch,Index,Mean Length,Stock
1,52.54849,NA,NA,A
2,58.507507,NA,NA,A
3,37.934064,NA,NA,A
4,20.41179,NA,NA,A
5,35.915486,NA,NA,A
6,31.760857,NA,NA,A
7,20.475813,NA,NA,A
8,34.639989,NA,NA,A
9,14.885379,NA,NA,A
10,22.434964,NA,NA,A
11,23.16915,NA,NA,A
12,26.27425,NA,NA,A
13,31.94938,NA,NA,A
14,23.42766,NA,NA,A
15,31.80051,NA,NA,A
16,31.20295,NA,NA,A
17,117.0435,NA,NA,A
18,108.25438,NA,NA,A
19,172.4634,NA,NA,A
20,50.55287,NA,NA,A
21,22.486,NA,NA,A
22,67.63266,NA,NA,A
23,76.29037,NA,NA,A
24,74.93072,NA,NA,A
25,76.5226,NA,NA,A
26,42.61533082,NA,NA,A
27,18.60463368,NA,NA,A
28,166.1018143,NA,NA,A
29,69.09467397,NA,NA,A
30,184.8824735,NA,NA,A
31,98.56649796,NA,NA,A
32,131.3029797,NA,NA,A
33,167.07296,NA,NA,A
34,126.3119276,NA,NA,A
35,144.2078575,NA,NA,A
36,298.8079589,NA,NA,A
37,427.5327382,NA,NA,A
38,571.0286603,NA,NA,A
39,351.3467094,NA,NA,A
40,418.0987513,NA,NA,A
41,243.9583378,NA,NA,A
42,299.2347637,NA,NA,A
43,306.3246317,NA,NA,A
44,327.011536,NA,NA,A
45,305.9515284,NA,NA,A
46,744.5220882,NA,NA,A
47,339.3470932,NA,NA,A
48,303.415801,NA,NA,A
49,440.988188,NA,NA,A
50,256.1559483,NA,NA,A
51,182.6480038,NA,NA,A
52,114.0312486,NA,NA,A
53,74.29860042,NA,4.97E+01,A
54,99.73111849,NA,4.97E+01,A
55,121.6618955,606.5008635,4.98E+01,A
56,142.2101337,1139.410953,49.8246,A
57,131.7415232,1271.141893,49.9025,A
58,196.6184804,969.8265043,49.9903,A
59,224.9193792,985.6710379,50.0669,A
60,229.4864706,1337.454907,50.1186,A
61,265.6676644,1450.400613,50.1416,A
62,236.9956503,1016.307581,50.7795,A
63,267.7736765,1291.479655,50.7798,A
64,162.8586431,786.4580923,50.7814,A
65,92.73121836,1335.133114,50.7829,A
66,142.1411894,649.4892212,50.7747,A
67,157.2691737,1355.24703,50.7469,A
68,168.433964,1205.75633,50.6924,A
69,286.1481114,715.5937175,50.6061,A
70,240.7635793,1069.220059,50.491,A
71,116.7376774,1106.893457,50.3615,A
72,116.9103729,1101.484607,50.2359,A
73,141.1279552,777.5744346,50.1314,A
74,119.3761357,1029.657642,50.0619,A
75,141.0482173,915.9637115,50.0302,A
1,1.527,NA,NA,B
2,1.962,NA,NA,B
3,1.698,NA,NA,B
4,1.372,NA,NA,B
5,1.9,NA,NA,B
6,1.823,NA,NA,B
7,2.052,NA,NA,B
8,2.065,NA,NA,B
9,3.583,NA,NA,B
10,2.657,NA,42.9749,B
11,2.198,NA,38.4954,B
12,1.596,NA,NA,B
13,1.805,NA,NA,B
14,2.72,NA,NA,B
15,2.214,NA,NA,B
16,3.804,NA,NA,B
17,4.259,NA,NA,B
18,4.805,NA,NA,B
19,4.912,NA,NA,B
20,5.441,NA,NA,B
21,7.401,NA,NA,B
22,6.578,NA,NA,B
23,9.412,NA,NA,B
24,10.171,NA,NA,B
25,11.242,NA,NA,B
26,11.198,NA,NA,B
27,12.753,NA,NA,B
28,13.48,NA,NA,B
29,13.109,NA,NA,B
30,13.935,NA,NA,B
31,15.037,NA,36.9874,B
32,4.888,NA,42.1195,B
33,5.042,NA,39.9811,B
34,39.996,NA,43.2693,B
35,13.46,NA,36.0608,B
36,12.252,NA,37.2092,B
37,13.2529999,NA,36.307,B
38,5.654,NA,34.8253,B
39,2.12,NA,31.2336,B
40,11.52199,NA,33.2389,B
41,6.97,NA,30.4606,B
42,60.726,NA,NA,B
43,22.683,NA,33.4116,B
44,42.973,NA,37.0136,B
45,25.716,NA,35.7443,B
46,14.80899,NA,31.2705,B
47,15.17,NA,32.7237,B
48,22.346,NA,34.0366,B
49,14.578,NA,32.1273,B
50,13.53499,NA,32.4691,B
51,13.098,NA,32.5619,B
52,15.69,NA,33.1829,B
53,5.922,NA,NA,B
54,13.852,NA,33.174,B
55,5.081,NA,33.1621,B
56,10.556,NA,37.433,B
57,14.334,NA,35.7287,B
58,19.268,NA,36.3149,B
59,11.004,NA,36.2677,B
60,6.958,NA,35.0165,B
61,3.557999,NA,36.5023,B
62,5.434999,NA,37.296,B
63,7.909,NA,37.6527,B
64,3.570999,NA,40.092,B
65,2.998,NA,38.7512,B
66,8.588,NA,35.6073,B
67,9.60899,NA,34.783,B
68,12.568,0.00130741,37.2713,B
69,12.966,0.00159849,37.8509,B
70,16.45499,0.000728312,38.1617,B
71,15.15299,0.00161189,NA,B
72,15.83299,0.00135391,35.9583,B
73,19.15099,0.00198973,37.2558,B
74,4.499,0.00264933,37.7172,B
75,1.1879999,0.00287014,31.8631,B
1,1244.36536,NA,NA,C
2,1299.44864,NA,NA,C
3,1648.40659,NA,NA,C
4,927.48822,NA,NA,C
5,1209.67138,NA,NA,C
6,1203.22937,NA,NA,C
7,1400.6772,NA,NA,C
8,1435.84938,NA,NA,C
9,1490.45359,NA,NA,C
