Year,Catch,Index,Mean Length,Stock,Spp
1,52.54849,NA,NA,A,REBS
2,58.507507,NA,NA,A,REBS
3,37.934064,NA,NA,A,REBS
4,20.41179,NA,NA,A,REBS
5,35.915486,NA,NA,A,REBS
6,31.760857,NA,NA,A,REBS
7,20.475813,NA,NA,A,REBS
8,34.639989,NA,NA,A,REBS
9,14.885379,NA,NA,A,REBS
10,22.434964,NA,NA,A,REBS
11,23.16915,NA,NA,A,REBS
12,26.27425,NA,NA,A,REBS
13,31.94938,NA,NA,A,REBS
14,23.42766,NA,NA,A,REBS
15,31.80051,NA,NA,A,REBS
16,31.20295,NA,NA,A,REBS
17,117.0435,NA,NA,A,REBS
18,108.25438,NA,NA,A,REBS
19,172.4634,NA,NA,A,REBS
20,50.55287,NA,NA,A,REBS
21,22.486,NA,NA,A,REBS
22,67.63266,NA,NA,A,REBS
23,76.29037,NA,NA,A,REBS
24,74.93072,NA,NA,A,REBS
25,76.5226,NA,NA,A,REBS
26,42.61533082,NA,NA,A,REBS
27,18.60463368,NA,NA,A,REBS
28,166.1018143,NA,NA,A,REBS
29,69.09467397,NA,NA,A,REBS
30,184.8824735,NA,NA,A,REBS
31,98.56649796,NA,NA,A,REBS
32,131.3029797,NA,NA,A,REBS
33,167.07296,NA,NA,A,REBS
34,126.3119276,NA,NA,A,REBS
35,144.2078575,NA,NA,A,REBS
36,298.8079589,NA,NA,A,REBS
37,427.5327382,NA,NA,A,REBS
38,571.0286603,NA,NA,A,REBS
39,351.3467094,NA,NA,A,REBS
40,418.0987513,NA,NA,A,REBS
41,243.9583378,NA,NA,A,REBS
42,299.2347637,NA,NA,A,REBS
43,306.3246317,NA,NA,A,REBS
44,327.011536,NA,NA,A,REBS
45,305.9515284,NA,NA,A,REBS
46,744.5220882,NA,NA,A,REBS
47,339.3470932,NA,NA,A,REBS
48,303.415801,NA,NA,A,REBS
49,440.988188,NA,NA,A,REBS
50,256.1559483,NA,NA,A,REBS
51,182.6480038,NA,NA,A,REBS
52,114.0312486,NA,NA,A,REBS
53,74.29860042,NA,4.97E+01,A,REBS
54,99.73111849,NA,4.97E+01,A,REBS
55,121.6618955,606.5008635,4.98E+01,A,REBS
56,142.2101337,1139.410953,49.8246,A,REBS
57,131.7415232,1271.141893,49.9025,A,REBS
58,196.6184804,969.8265043,49.9903,A,REBS
59,224.9193792,985.6710379,50.0669,A,REBS
